Wall time,Step,Value
1748394653.1574984,5160960,-27.764175415039062
1748394673.1706288,5177344,-26.72416114807129
1748394693.112547,5193728,-29.006771087646484
1748394713.610221,5210112,-24.69272232055664
1748394733.5474327,5226496,-18.329853057861328
1748394753.5404575,5242880,-22.063560485839844
1748394773.5363572,5259264,-28.51793670654297
1748394793.6625051,5275648,-36.45648193359375
1748394813.6313412,5292032,-50.24605941772461
1748394833.877085,5308416,-32.85914993286133
1748394853.7781765,5324800,-40.030967712402344
1748394873.9910538,5341184,-40.08415985107422
1748394893.8808084,5357568,-38.98040771484375
1748394914.0521035,5373952,-26.79246711730957
1748394935.8144233,5390336,-23.73027229309082
1748394956.9907887,5406720,-16.29066276550293
1748394978.8381667,5423104,-20.852745056152344
1748395000.2063367,5439488,-11.889369010925293
1748395021.525407,5455872,-14.483274459838867
1748395042.749658,5472256,-18.404129028320312
1748395064.7516148,5488640,-24.3046932220459
1748395086.3355026,5505024,-19.63987159729004
1748395108.3366423,5521408,-8.596932411193848
1748395129.5613902,5537792,-15.140101432800293
1748395150.9282985,5554176,-10.510844230651855
1748395172.2263415,5570560,-19.585145950317383
1748395193.5558228,5586944,-17.938007354736328
1748395214.9830406,5603328,-14.914215087890625
1748395235.6485562,5619712,-12.93038272857666
1748395256.4426312,5636096,-8.457796096801758
1748395276.77298,5652480,-11.689234733581543
1748395296.8913505,5668864,-7.934444904327393
1748395317.4086754,5685248,-17.205184936523438
1748395337.739574,5701632,-21.718585968017578
1748395357.9521422,5718016,-8.760104179382324
1748395378.0364888,5734400,-9.145849227905273
1748395398.2349975,5750784,-11.89664363861084
1748395418.4494781,5767168,-12.548794746398926
1748395438.7863762,5783552,-16.029569625854492
1748395459.091805,5799936,-14.218282699584961
1748395479.6414902,5816320,-7.959201812744141
1748395499.7643323,5832704,-9.924154281616211
1748395519.9643457,5849088,-11.03792953491211
1748395540.3338294,5865472,-12.808202743530273
1748395560.4695115,5881856,-20.44645118713379
1748395580.5826283,5898240,-13.39877700805664
1748395600.9820395,5914624,-9.405339241027832
1748395621.2620418,5931008,-28.48473358154297
1748395641.3534274,5947392,-33.103878021240234
1748395661.2810404,5963776,-15.4959077835083
1748395681.4562323,5980160,-15.811779975891113
1748395701.4591882,5996544,-14.838434219360352
1748395721.6070187,6012928,-15.934263229370117
1748395744.2041972,6029312,-18.76227569580078
1748395764.387691,6045696,-12.260771751403809
1748395784.4560215,6062080,-19.172557830810547
1748395804.6519656,6078464,-20.45344352722168
1748395824.8415496,6094848,-16.977537155151367
1748395844.9985483,6111232,-17.17364501953125
1748395865.7670503,6127616,-5.804078102111816
1748395886.0888379,6144000,-6.56622314453125
1748395906.3591394,6160384,-8.611787796020508
1748395926.5983646,6176768,-11.724607467651367
1748395946.9513695,6193152,-9.161676406860352
1748395967.2761607,6209536,-7.171257019042969
1748395988.4085789,6225920,-9.306565284729004
1748396010.2632432,6242304,-8.754725456237793
1748396031.6963656,6258688,-10.177506446838379
